id,word,part_of_speech,meaning
1,adult,名詞,成年人 33 beautiful 形容詞 美麗的
2,angel,名詞,天使 34 blind 形容詞 失明的
3,baby,名詞,嬰兒 35 chubby 形容詞 圓胖的
4,boy,名詞,男孩 36 cute 形容詞 可愛的
5,child,名詞,小孩 37 deaf 形容詞 失聰的
6,couple,名詞,情侶；夫妻 38 dumb 形容詞 啞的
7,customer,名詞,顧客 39 fat 形容詞 胖的
8,fool,名詞,傻瓜 40 handsome 形容詞 英俊的
9,genius,名詞,天才 41 heavy 形容詞 重的
10,gentleman,名詞,紳士 42 nice-looking 形容詞 好看的
11,giant,名詞,巨人 43 old 形容詞 年老的
12,girl,名詞,女孩 44 over-weight 形容詞 過重的
13,guest,名詞,客人 45 short 形容詞 矮的
14,hero,名詞,英雄 46 skinny 形容詞 極瘦的
15,host,名詞,主人 47 slender 形容詞 苗條的
16,kid,名詞,小孩 48 slim 形容詞 纖細的
17,king,名詞,國王 49 tall 形容詞 高的
18,lady,名詞,女士 50 thin 形容詞 瘦的
19,man,名詞,男人 51 under-weight 形容詞 體重不足的
20,master,名詞,主人；大師 52 ugly 形容詞 醜陋的
21,neighbor,名詞,鄰居 53 young 形容詞 年輕的
22,partner,名詞,夥伴；伴侶 54 active 形容詞 活躍的
23,people,名詞,人們 55 angry 形容詞 生氣的
24,person,名詞,人 56 bad 形容詞 壞的
25,prince,名詞,王子 57 boring 形容詞 令人無聊的
26,princess,名詞,公主 58 brave 形容詞 勇敢的
27,queen,名詞,女王 59 busy 形容詞 忙碌的
28,stranger,名詞,陌生人 60 careful 形容詞 小心的
29,teenager,名詞,青少年 61 careless 形容詞 粗心的
30,visitor,名詞,訪客 62 childish 形容詞 幼稚的
31,woman,名詞,女人 63 childlike 形容詞 孩子般的
32,youth,名詞,青年 64 confident 形容詞 有自信的
65,considerate,形容詞,體貼的 96 lovely 形容詞 可愛的
66,cool,形容詞,酷的 97 mad 形容詞 瘋狂的
67,crazy,形容詞,瘋狂的 98 naughty 形容詞 頑皮的
